text,canonical_form_1,canonical_form_2severity_rating,severity_description
heeb,hebe,2.2,Strong
higg@,nigger,2.6,Severe
higg3r,nigger,2.8,Severe
higga,nigger,2.8,Severe
higger,nigger,2.6,Severe
higgers,nigger,3,Severe
hoar,whore,1.8,Strong
hoe,hoe,2,Strong
hoe-asses,hoe,ass2.2,Strong
hoebag,hoe,2,Strong
hoes,hoe,2,Strong
holy fuck,fuck,2,Strong
homo,homosexual,2.2,Strong
homo asses,homosexual,ass2.8,Severe
homos,homosexual,2.2,Strong
hooters,hooters,1,Mild
horse shit,shit,1.2,Mild
horse's asses,ass,1.4,Mild
horseshit,shit,1.2,Mild
hustler,hustler,1,Mild
injun,injun,2.4,Strong
j-offs,jerk off,1.4,Mild
j3rk,jerk,1,Mild
ja!lbait,jailbait,1,Mild
ja1lbait,jailbait,1,Mild
Jack off,jackoff,1.4,Mild
jack-off,jack off,1.2,Mild
jack-offs,jack off,1.4,Mild
jackarse,arse,1,Mild
jackass,ass,1,Mild
jackasses,ass,1,Mild
jackasss,ass,1.2,Mild
jackoff,jack off,2,Strong
jackoffs,jack off,1.2,Mild
jackoffz,jack off,1.6,Strong
jagoff,jack off,1,Mild
jailba!t,jailbait,1.6,Strong
jailbait,jailbait,1,Mild
jap,jap,2.8,Severe
jerk off,jerk off,1,Mild
jerk-0ff,jerk off,1.2,Mild
jerk-0ffs,jerk off,1.4,Mild
jerk-off,jerk off,1.2,Mild
jerk-offs,jerk off,1,Mild
jerking off,jerk off,1,Mild
jerkoff,jerk off,1.6,Strong
jerkoff jerking off,jerk off,1.2,Mild
jerkoffs,jerk off,1.2,Mild
jerks off,jerk off,1.4,Mild
jewboy,jew,2.8,Severe
jigaboo,jiggaboo,2.4,Strong
jigaboos,jiggaboo,2.8,Severe
jigga,jiggaboo,nigger2.4,Strong
jiggaboo,jiggaboo,3,Severe
jiggabooboo,jiggaboo,2.4,Strong
jiggaboos,jiggaboo,3,Severe
jiggabu,jiggaboo,3,Severe
jiggas,jiggaboo,2.8,Severe
jigger,jiggaboo,nigger3,Severe
jiggerboo,jiggaboo,2.6,Severe
jiggerboos,jiggaboo,3,Severe
jiggs,jiggaboo,2.6,Severe
jiggyboo,jiggaboo,3,Severe
jigro,jiggaboo,nigger2.8,Severe
jim crow,jim crow,1.4,Mild
jizz,jizz,1.6,Strong
jizz eater,jizz,2.4,Strong
